id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
71,Presbyterian Community Services (Sarah Senior Service Activity),Non-Profit ,http://www.pcs.org.sg,"SARAH SAC was started in 1998  with the support of MCYS and NCSS to serve the elderly residents of Blk 105 and 106, Jalan Bt Merah.",Volunteering Opportunities,"Meals Delivery
Housekeeping
Personal Hygiene
Laundry washing
Escort for medical appointments",3 times a week,Minimum half a day,NA,$0 ,SARAH Seniors Activity Centre ,Blk 105 Jalan Bukit Merah ,#02-1912 ,Singapore 160105,"Monday – Friday: 9.00am – 5.30pm
Saturday: 9.00am – 1.00pm 
(closed on Sundays and Public Holidays)",Central,sarahsac@pcs.org.sg,62712125  
72,Presbyterian Community Services  (Evergreen Circle),Non-Profit ,http://www.pcs.org.sg,Evergreen Circle Neighbourhood Link was started in 2001 with support from MCYS to serve the elderly residents of Tampines Grove RC zone.,Volunteering Opportunities,"Meals Delivery
Housekeeping
Personal Hygiene
Laundry washing
Escort for medical appointments",3 times a week,Minimum half a day,NA,$0 ,EverGreen Circle Senior Activity Centre,"Blk 827A, Tampines Street 81",#02-350,Singapore 521827,"Monday – Friday: 9.00am – 5.30pm
Saturday: 9.00am – 1.00pm 
(closed on Sundays and Public Holidays)",South East,ecircle@pcs.org.sg,"67866826, 67866298"
73,Prison Fellowship Singapore Ltd (After-care Centre),Non-Profit ,http://www.pfsing.org.sg/,"Prison Fellowship Singapore (PFS) is a Christian Voluntary Welfare organisation with an inter-denominational fellowship of Christians ministering to men and women in the prison system and their families. We are committed to a prison ministry that seeks to bring holistic restoration to inmates and their families, by focusing on integrated approaches. Internationally, we are one of the over 100 affiliated members of Prison Fellowship International (PFI).",Volunteering Opportunities,"Provide training in computer skills, language proficiency and also tuition sessions for ex-offenders",Anytime (within operating hours),Anytime,NA,$0 ,Prison Fellowship Singapore Ltd,326B King George’s Avenue,King George’s Building?,Singapore 208567,Tuesday – Friday: 10.00 a.m. to 4.00 p.m.,Central, volunteering@pfs.org.sg,6475 6136 
74,Queenstown Multi-Service Centre ,Non-Profit ,http://www.qmsc.org.sg/,"With Queenstown Multi-Service Centre started as a joint charity by Tanjong Pager CDC, Queenstown CCC, Home Nursing foundation and Thye Hua Kwan Moral Society in 1998. It has grown from a small service agency to a fairly big centre. This could only happen because of the co-operation between the four partners; the good work done by its management team; good financing and generally good performance by one and all.

Services:
Rehablitative Treatments
Day Care Services

 ",Volunteering Opportunities,"Organising activities for the elders, hair cutting service",Depends on Availability,depends,NA,$0 ,Queenstown Multi-Service Centre ,150A Mei Chin Road,#01-01,Singapore 140150,Monday-Friday: 8am-5pm,Central,enquiry@qmsc.org.sg,6473 6511
75,Queenstown Multi-Service Centre ,Non-Profit ,http://www.qmsc.org.sg/,"With Queenstown Multi-Service Centre started as a joint charity by Tanjong Pager CDC, Queenstown CCC, Home Nursing foundation and Thye Hua Kwan Moral Society in 1998. It has grown from a small service agency to a fairly big centre. This could only happen because of the co-operation between the four partners; the good work done by its management team; good financing and generally good performance by one and all.

Services:
Rehablitative Treatments
Day Care Services

 ",Recreational and Leisure,"Singing, Arts and Craft and Physical Exercises",Weekly,Depends on programmes,Minimum 60 years old,<$100,Queenstown Multi-Service Centre ,150A Mei Chin Road,#01-01,Singapore 140150,Monday-Friday: 8am-5pm,Central,enquiry@qmsc.org.sg,6473 6511
76,Salvation Army (The Family Support Services),Non-Profit ,http://www.salvationarmy.org/singapore,"Elderly Drop-In
The Elderly Drop-In Programme is a weekly get-together session at the centre for senior residents living in the vicinity to have fun and interact with one another. Activities such as health talks, workshops and outings are planned all year round to enrich their lives",Volunteering Opportunities,"Befriending the elders, home care services where volunteer",Once a week,3 months commitment,preferrably 17 years and above,$0 ,Salvation Army,Blk 42 Beo Crescent,#01-95,Singapore 160042,8.30am to 5pm,Central,fss_beo@smm.salvationarmy.org,6273 7207
77,Salvation Army (The Family Support Services),Non-Profit ,http://www.salvationarmy.org/singapore,"As a convenient, one stop community based centre, family support services has been making a difference to the lives of the less privileged. Besides extending a practical life line and friendship to the marginalized in the community, we work with many corporate and individual workers to organize educational and interactive activities for the elderly and disadvantaged families so that they do not feel forgotten.",Personal Health Care Services,,Not mentioned,Not mentioned,NA,$0 ,The Family Support Services,Blk 42 Beo Crescent,#01-95,Singapore 160042,8.30am to 5pm,Central,fss_beo@smm.salvationarmy.org,6273 7207
78,Salvation Army (Prison Support Service - KIDS IN PLAY),Non-Profit ,http://www.salvationarmy.org/singapore,"Prison Support Services (PSS) provides professional support for children of imprisoned parent(s). Through various programmes and services to the caregivers and children while the parent is in prison, Kids In Play (KIP) helps to maintain family ties and relationship between parent and child during the period of imprisonment.",Volunteering Opportunities,Befriending and mentoring,Depends,Depends,NA,$0 ,Prison Support Service - KIDS IN PLAY,7 Upper Changi Road North,,Singapore 507705,8.30am to 5pm,South East, kidsinplay@smm.salvationarmy.org,6546 5867
79,Salvation Army (Gracehaven),Non-Profit ,http://www.salvationarmy.org/singapore,"Gracehaven is a residential home for young people who require care, protection and rehabilitation due to risk behaviours and a lack of parental supervision.
We aim to help young people reintegrate back into their family and society through an array of holistic programmes and activities specially designed to cater to the well being of each individual person. At Gracehaven, a team of professionally trained social workers work towards building  holistic and individualized care plans that are tailored to meet each young person’s needs.",Volunteering Opportunities,Academic Supports,Depends,Depends,Preferably good in subjects,$0 ,Gracehaven,3 Lorong Napiri,,Singapore 547528,8.30am to 5pm,North West,gracehaven@smm.salvationarmy.org,6580 2250
80,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Bedok Radiance SAC),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Bedok Radiance SAC,Blk 12 Bedok South Ave 2,#01-610,Singapore 460012,Not Provided,South East,brsac@thkmc.org.sg,6242 2483
81,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Seniors Activity Centre @ Henderson (Satellite 93)),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Seniors Activity Centre @ Henderson (Satellite 93),Blk 93 Henderson Road ,#01-210,Singapore 150093,"Monday to Friday 9am to 6pm . 
Saturday 9am to 1pm",Central,hensac@thkmc.org.sg,6273 8291
82,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Social Service Hub @ Bukit Batok East),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Social Service Hub @ Bukit Batok East,Blk 235 Bukit Batok East Ave 5,#01-21,Singapore 650235,8.30am to 5.30pm,South West,volunteer@thkmc.org.sg ,Not Provided
83,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Seniors Services @ Taman Jurong),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Seniors Services @ Taman Jurong,Blk 337 Tah Ching Road,#01-01,Singapore 610337,Monday to Friday 8.30am to 6.00pm,South West,volunteer@thkmc.org.sg ,6795 1185
84,Thye Hua Kwan Moral Charities Senior Activity Centres (THK SAC @ AMK 645),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK SAC @ AMK 645,Blk 645 Ang Mo Kio Ave 6,#01-4937,Singapore 560645,Monday to Friday 8.30am to 6.00pm,Central,amksac645@thkmc.org.sg,6554 7298
85,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Seniors Activity Centre @ Toa Payoh 15),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Seniors Activity Centre @ Toa Payoh 15,Blk 15 Toa Payoh Lorong 7,#01-579,Singapore 310015,"Monday to Friday: 9am to 6pm
Saturday : 9am to 1pm",Central,tpsac15@thkmc.org.sg,6251 6504
86,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Seniors Services @ Taman Jurong),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Seniors Services @ Taman Jurong,Blk 337 Tah Ching Road,#01-01,Singapore 610337,Monday to Friday 8.30am to 6.00pm,South West,volunteer@thkmc.org.sg ,6795 1185
87,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Seniors Activity Centre @ Boon Lay),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Seniors Activity Centre @ Boon Lay,Blk 209 Boon Lay Place,#01-239,Singapore 640209,"Monday to Friday: 9am to 6pm
Saturday : 9am to 1pm",South West,blsac@thkmc.org.sg,62646065
88,Thye Hua Kwan Moral Charities Senior Activity Centres (THK Seniors Activity Centre @ Bukit Merah View),Non-Profit ,http://www.thkmc.org.sg/about-us/,"Since October 2011, Thye Hua Kwan Moral Charities (THKMC) was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.

THKMC provides assistance to the various groups in our community through more than 40 centres, services and programmes for adults, families, elderly including persons with disability.

We endeavour to provide quality assistance to everyone in need.",Recreational and Leisure," Karaoke singing, games such as Chinese Chess and Checkers, Free haircut, Line dancing",Depends on programmes,Depends on programmes,60 years old and above,$0 ,THK Seniors Activity Centre @ Bukit Merah View,Blk 118 Bukit Merah View,#02-101,Singapore 150118,"Monday to Friday: 9am to 6pm
Saturday : 9am to 1pm",South West,bmvsac@thkmc.org.sg,62764761
89,Chee Hoon Kog Moral Promotion Society (Redhill Moral Seniors Activity Centre),Non-Profit ,http://www.chkmps.org.sg/,"Our Society was registered with the ROS in 25 March 1982. Its objectives are:
1. To promote and cultivate good morals, such as filial piety, compassion, righteousness, brotherliness, loyalty, trustworthiness, propriety, decency, humanity and wisdom.
2. To help all people and to give relief to anyone in hardship, disaster or need, without discrimination as to race, colour, creed, language or religion;

To carry out welfare work for the good of mankind, including the rendering of financial assistance and personal support for those who are weak, old, poor, sick or disabled;

The promotion of education and the provision of free burial and funeral expenses, etc.

3. To set up Homes for Aged Sick and other charitable institutions;
4. To establish child centres, family service centres, seniors activity centres etc;",Volunteering Opportunities,Letter writing and reading. Provide assistance and free meal services,Daily,Depends on programmes,NA,$0 ,Redhill Moral Seniors Activity Centre,Blk 89 Redhill Close,#01-448,Singapore 150089,Not Provided,Central,winnie@chkmps.org.sg,6476 5873
90,Chee Hoon Kog Moral Promotion Society (Moral Seniors Activity Centre (Kaki Bukit)),Non-Profit ,http://www.chkmps.org.sg/,"Our Society was registered with the ROS in 25 March 1982. Its objectives are:
1. To promote and cultivate good morals, such as filial piety, compassion, righteousness, brotherliness, loyalty, trustworthiness, propriety, decency, humanity and wisdom.
2. To help all people and to give relief to anyone in hardship, disaster or need, without discrimination as to race, colour, creed, language or religion;

To carry out welfare work for the good of mankind, including the rendering of financial assistance and personal support for those who are weak, old, poor, sick or disabled;

The promotion of education and the provision of free burial and funeral expenses, etc.

3. To set up Homes for Aged Sick and other charitable institutions;
4. To establish child centres, family service centres, seniors activity centres etc;",Volunteering Opportunities,Letter writing and reading. Provide assistance and free meal services,Daily,Depends on programmes,NA,$0 ,Moral Seniors Activity Centre (Kaki Bukit),Blk 544 Bedok North St. 3,#01-1340,Singapore 460544 ,Not Provided,South East,winnie@chkmps.org.sg,6448 6247 
91,TOUCH Senriors Activity Centre,Non-Profit ,http://www.touch.org.sg/,"TOUCH Seniors Activity Centre aims to be a second home for the seniors in Geylang Bahru and seeks to improve their quality of life. The seniors will be enjoying their golden years with activities such as art and craft sessions, festival celebrations, wellness programmes, interactive group sessions, games and regular outings.


Besides organising social activities, the Centre also conducts regular home visits and provides information and referral service, financial and welfare assistance and pastoral care. To qualify as a member, one needs to be 60 years and above and living in the Geylang Bahru neighbourhood.

OUCH Community Services is committed to the well being of all people, reaching out to various levels of needs in the community.

TOUCH has an integrated network of 17 services, 12 centres and 17 children's clubs located at different parts of Singapore, including Bukit Merah, Clementi, Geylang Bahru, Hougang, Serangoon, Toa Payoh, Ubi and Yishun. Over the last 21 years, TOUCH has reached out to many individuals from all religions and races, including children, youths, families, elderly and those with special needs and healthcare needs.


In April 2011, TOUCH Seniors Activity Centre was appointed by the National Council of Social Service as a CENTRE OF SPECIALISATION with the aim of transferring our knowledge and expertise to other voluntary welfare organisations in the eldercare sector. This partnership seeks to further enhance service delivery standards and competencies, which will ensure greater effectiveness and utilisation of resources.

""Without the Centre, we would be spending the day meaninglessly watching TV or sleeping. TSAC is more than a recreational centre to us; it is our home...""
- 79-year-old Mdm Chiang Yee Choo

ways wanted to help the needy and disadvantaged but don't know how?

Come volunteer with us and see what a difference it makes to them and to YOU! All you need is a caring and compassionate heart.

Currently, TOUCH Community Services has about 1,500 active volunteers from all walks of life who partner us in different programmes and projects.

The Elderly Service Group aims to help the elderly enjoy 
a higher quality of life with dignity and independence, 
through a range of medical, social and welfare services.
1. TOUCH Home Care
2. TOUCH Seniors Activity Centre",Recreational and Leisure,"Interactive activities, games, regular outings",Not mentioned,Not mentioned,"To qualify as a member, one needs to be 60 years and above and living in the Geylang Bahru neighborhood.",$0 ,TOUCH Seniors Activity Centre,Blk 61 Geylang Bahru,#01-3293,Singapore 330061,"8am to 5pm, Monday to Friday",South East,sac@touch.org.sg, 6297 5818
