id,VendorName,NonProfitPrivate,WebsiteAddress,Description,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
131,NTUC Eldercare SilverACE (NTUC SilverACE @ Redhill),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.","Video workout, cooking and meridian exercise",Depends on Programmes,Depends on programmes,For 60 years old and above residents of the above-mentioned blocks,$0 ,NTUC SilverACE @ Redhill,Blk 71 Redhill Rd ,#01-29,Singapore 150071,"Monday, Tuesday, Thursday, Friday: 11am to 8pm
Wednesday: 9am to 6pm",Central,ecare@ntuceldercare.org.sg , 6473 8557
132,NTUC Eldercare SilverACE (NTUC SilverACE @ Redhill),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.","Assisting in monitoring of frail and/or homebound elderly, befriending, emergency alert response calls",Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverACE @ Redhill,Blk 71 Redhill Rd ,#01-29,Singapore 150071,"Monday, Tuesday, Thursday, Friday: 11am to 8pm
Wednesday: 9am to 6pm",Central,ecare@ntuceldercare.org.sg , 6473 8557
133,NTUC Eldercare SilverACE (NTUC SilverACE @ Telok Blangah),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.","Video workout, cooking and meridian exercise",Depends on Programmes,Depends on Programmes,For 60 years old and above residents of the above-mentioned blocks,$0 ,NTUC SilverACE @ Telok Blangah,Blk 41 Telok Blangah Rise,#01-373 ,Singapore 090041,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",Central, ecare@ntuceldercare.org.sg, 6273 3297
134,NTUC Eldercare SilverACE (NTUC SilverACE @ Telok Blangah),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverACE @ Telok Blangah,Blk 41 Telok Blangah Rise,#01-373 ,Singapore 090041,"Monday to Friday: 9am to 6pm
Saturday: 9am to 1pm",Central, ecare@ntuceldercare.org.sg, 6273 3297
135,NTUC Eldercare SilverACE (NTUC SilverACE @ Lengkok Bahru),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.","Video workout, cooking and meridian exercise",Depends on Programmes,Depends on Programmes,For 60 years old and above residents of the above-mentioned blocks,$0 ,NTUC SilverACE @ Lengkok Bahru,Blk 57 Lengkok Bahru ,#01-491,Singapore 151057,Not Provided,Central,Not Provided, 6473 3387
136,NTUC Eldercare SilverACE (NTUC SilverACE @ Lengkok Bahru),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverACE @ Lengkok Bahru,Blk 57 Lengkok Bahru ,#01-491,Singapore 151057,Not Provided,Central,Not Provided, 6473 3387
137,NTUC Eldercare SilverACE (NTUC SilverACE @Taman Jurong),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.","Video workout, cooking and meridian exercise",Depends on Programmes,Depends on Programmes,For 60 years old and above residents of the above-mentioned blocks,$0 ,NTUC SilverACE @Taman Jurong,Blk 118A Corporation Drive,,Singapore 611118,Not Provided,South West,Not Provided,6261 6563
138,NTUC Eldercare SilverACE (NTUC SilverACE @Taman Jurong),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverACE @Taman Jurong,Blk 118A Corporation Drive,,Singapore 611118,Not Provided,South West,Not Provided,6261 6563
139,NTUC Eldercare SilverACE (NTUC SilverACE @ Lengkok Bahru),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.","Video workout, cooking and meridian exercise",Depends on Programmes,Depends on Programmes,For 60 years old and above residents of the above-mentioned blocks,$0 ,NTUC SilverACE @ Whampoa,300 Whampoa Drive,#01-13,Singapore 327737,Not Provided,South East,Not Provided,6352 4113
140,NTUC Eldercare SilverACE (NTUC SilverACE @ Lengkok Bahru),Non-Profit ,"http://www.ntuc.org.sg/wps/portal/eldercare/home
https://www.facebook.com/NTUCEldercare","NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community. It caters to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Our Seniors Activity Centres (SACs), known as Silver ACE, are drop-in centres for seniors staying in the same neighbourhood, specially catered to those from the lower income families to socialize with their peers and acts as a place to turn to for help in times of emergency. NTUC Eldercare currently has 6 centres.

The centres work closely with volunteers from grassroots, schools, VWOs and corporate organizations to organise outings, lunch treats, festive celebrations, interesting social activities, and to engage elderly staying in this community. 

Aside from social and recreational programmes and activies, Silver ACE also provides support services such as monitoring of frail and/or homebound elderly, befriending, emergency alert response calls, guidance, advice and information.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverACE @ Whampoa,300 Whampoa Drive,#01-13,Singapore 327737,Not Provided,South East,Not Provided,6352 4113
141,NTUC Eldercare SilverCircle (NTUC SilverCircle@Marsiling),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Marsiling,Blk 172 Woodlands St 13,,Singapore 730172,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",North West,ecare@ntuceldercare.org.sg,6368 2591
142,NTUC Eldercare SilverCircle (NTUC SilverCircle@Punggol South),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Punggol South,Blk 571 Hougang St 51,,Singapore 530571,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",North East,ecare@ntuceldercare.org.sg,6315 3566
143,NTUC Eldercare SilverCircle (NTUC SilverCircle@Pasir Ris),Non-Profit ,http://www.ntuc.org.sg/wps/portal/eldercare/home/ourservices/daycare,"NTUC Eldercare Co-operative Limited was set up in 1997 to provide quality and affordable eldercare services for seniors in the community.

These services include a centre-based day care programme known as Silver Circle, an island-wide home-based service known as Care@home, management of Senior Activities Centres known as Silver ACE, and the sheltered home know as Henderson Senior CitizenÕs Home.

There are currently 8 Silver Circle centres located in various parts of Singapore. The day care programme engages seniors in meaningful and interactive activities during the day while their children are at work. Some centres also provide additional services such as dementia care and active rehabilitation.

Care@home is an island-wide home-care service to look after elderly who are more frail and home-bound. This includes a newly launched home nursing component. NTUC Eldercare also does caregivers training programmes to equip caregivers, including domestic helpers, with basic skills and knowledge on caring for elderly at home.

The Silver ACE centres are Senior Activities Centres which cater to the less privileged elderly living in rental flats. The centres work closely with the local grassroots, schools and other organisations to provide outings, talks, exercises, games, and other activities to these seniors. The centres also act as information hubs and point of contacts.

NTUC Eldercare also manages the Henderson Senior Citizens' Home which is both a sheltered home for needy elderly and a Senior Activity Centre for seniors staying on their own in HDB rental flats. The Home organises activities and programmes to engage these seniors, so that they too can lead happy, meaningful and dignified lives.

Moving forward, NTUC Eldercare will continue to widen its range of eldercare services, as well as deepen its capability, so that more seniors and their family members can benefit from its service.

NTUC Eldercare currently operates 9 day care centres around Singapore. At the centres, the elderly engage themselves in social interactive activities, such as regular exercises, interesting games and festive celebrations, while their family members are at work in the day. In addition to social activities, the centres provide value-add healthcare services such as clinical care, physiotherapy assessment and treatment, counselling, basic health checks & referrals.",Befriending with homebound elderly.,Depends on Programmes,Depends on programmes,NA,$0 ,NTUC SilverCircle@Pasir Ris,Blk 112 Pasir Ris Street 11,,Singapore 510112,"Monday - Friday : 7:30am - 6:00pm (Closed on Saturdays, Sundays and Public Holidays.)",South East,ecare@ntuceldercare.org.sg,6581 6033
